hardware_compute_capability,hardware_memory_gb,hardware_tensor_core_gen,precision_mantissa_bits,precision_exponent_bits,precision_total_bits,model_params_b,model_num_layers,model_is_moe
10.0,192,5,3,4,8,8,32,0
10.0,192,5,3,4,8,8,32,0
10.0,192,5,3,4,8,8,32,0
10.0,192,5,3,4,8,8,32,0
10.0,192,5,3,4,8,8,32,0
10.0,192,5,3,4,8,8,32,0
10.0,192,5,3,4,8,8,32,0
9.0,80,4,10,5,16,8,32,0
9.0,80,4,10,5,16,8,32,0
9.0,80,4,10,5,16,8,32,0
9.0,80,4,10,5,16,8,32,0
9.0,80,4,10,5,16,8,32,0
9.0,80,4,10,5,16,8,32,0
9.0,80,4,10,5,16,8,32,0
9.0,80,4,10,5,16,8,32,0
9.0,80,4,3,4,8,8,32,0
9.0,80,4,3,4,8,8,32,0
9.0,80,4,3,4,8,8,32,0
9.0,80,4,3,4,8,8,32,0
9.0,80,4,3,4,8,8,32,0
9.0,80,4,3,4,8,8,32,0
9.0,80,4,3,4,8,8,32,0
9.0,80,4,3,4,8,8,32,0
9.0,80,4,3,4,8,8,32,0
9.0,80,4,3,4,8,8,32,0
9.0,80,4,3,4,8,8,32,0
9.0,80,4,3,4,8,8,32,0
9.0,141,4,10,5,16,8,32,0
9.0,141,4,10,5,16,8,32,0
9.0,141,4,10,5,16,8,32,0
9.0,141,4,10,5,16,8,32,0
9.0,141,4,10,5,16,8,32,0
9.0,141,4,10,5,16,8,32,0
9.0,141,4,10,5,16,8,32,0
9.0,141,4,10,5,16,8,32,0
9.0,141,4,10,5,16,8,32,0
9.0,141,4,10,5,16,8,32,0
9.0,141,4,10,5,16,8,32,0
9.0,141,4,10,5,16,8,32,0
9.0,141,4,3,4,8,8,32,0
9.0,141,4,3,4,8,8,32,0
9.0,141,4,3,4,8,8,32,0
9.0,141,4,3,4,8,8,32,0
9.0,141,4,3,4,8,8,32,0
9.0,141,4,3,4,8,8,32,0
9.0,141,4,3,4,8,8,32,0
9.0,141,4,3,4,8,8,32,0
9.0,141,4,3,4,8,8,32,0
9.0,141,4,3,4,8,8,32,0
9.0,141,4,3,4,8,8,32,0
9.0,141,4,3,4,8,8,32,0
9.4,192,0,10,5,16,8,32,0
9.4,192,0,10,5,16,8,32,0
9.4,192,0,10,5,16,8,32,0
9.4,192,0,10,5,16,8,32,0
9.4,192,0,10,5,16,8,32,0
9.4,192,0,10,5,16,8,32,0
9.4,192,0,10,5,16,8,32,0
9.4,192,0,10,5,16,8,32,0
9.4,192,0,3,4,8,8,32,0
9.4,192,0,3,4,8,8,32,0
9.4,192,0,3,4,8,8,32,0
9.4,192,0,3,4,8,8,32,0
9.4,192,0,3,4,8,8,32,0
9.4,192,0,3,4,8,8,32,0
9.4,192,0,3,4,8,8,32,0
9.4,192,0,3,4,8,8,32,0
10.0,192,5,2,2,4,0,0,0
10.0,192,5,2,2,4,0,0,0
10.0,192,5,2,2,4,0,0,0
10.0,192,5,2,2,4,0,0,0
10.0,192,5,10,5,16,7,32,0
10.0,192,5,10,5,16,7,32,0
10.0,192,5,10,5,16,7,32,0
10.0,192,5,10,5,16,7,32,0
10.0,192,5,10,5,16,7,32,0
10.0,192,5,10,5,16,7,32,0
10.0,192,5,10,5,16,7,32,0
10.0,192,5,10,5,16,7,32,0
10.0,192,5,10,5,16,7,32,0
10.0,192,5,10,5,16,7,32,0
10.0,192,5,10,5,16,7,32,0
10.0,192,5,10,5,16,7,32,0
10.0,192,5,2,2,4,7,32,0
10.0,192,5,2,2,4,7,32,0
10.0,192,5,2,2,4,7,32,0
10.0,192,5,2,2,4,7,32,0
10.0,192,5,3,4,8,7,32,0
10.0,192,5,3,4,8,7,32,0
10.0,192,5,3,4,8,7,32,0
10.0,192,5,3,4,8,7,32,0
10.0,192,5,3,4,8,7,32,0
10.0,192,5,3,4,8,7,32,0
10.0,192,5,3,4,8,7,32,0
10.0,192,5,3,4,8,7,32,0
10.0,192,5,3,4,8,7,32,0
10.0,192,5,3,4,8,7,32,0
10.0,192,5,3,4,8,7,32,0
10.0,192,5,3,4,8,7,32,0
9.0,80,4,10,5,16,7,32,0
9.0,80,4,10,5,16,7,32,0
9.0,80,4,10,5,16,7,32,0
9.0,80,4,10,5,16,7,32,0
9.0,80,4,10,5,16,7,32,0
9.0,80,4,10,5,16,7,32,0
9.0,80,4,10,5,16,7,32,0
9.0,80,4,10,5,16,7,32,0
9.0,80,4,3,4,8,7,32,0
9.0,80,4,3,4,8,7,32,0
9.0,80,4,3,4,8,7,32,0
9.0,80,4,3,4,8,7,32,0
9.0,80,4,3,4,8,7,32,0
9.0,80,4,3,4,8,7,32,0
9.0,80,4,3,4,8,7,32,0
9.0,80,4,3,4,8,7,32,0
9.0,80,4,3,4,8,7,32,0
9.0,80,4,3,4,8,7,32,0
9.0,80,4,3,4,8,7,32,0
9.0,80,4,3,4,8,7,32,0
9.0,141,4,10,5,16,7,32,0
9.0,141,4,10,5,16,7,32,0
9.0,141,4,10,5,16,7,32,0
9.0,141,4,10,5,16,7,32,0
9.0,141,4,10,5,16,7,32,0
9.0,141,4,10,5,16,7,32,0
9.0,141,4,10,5,16,7,32,0
9.0,141,4,10,5,16,7,32,0
9.0,141,4,10,5,16,7,32,0
9.0,141,4,10,5,16,7,32,0
9.0,141,4,10,5,16,7,32,0
9.0,141,4,10,5,16,7,32,0
9.0,141,4,3,4,8,7,32,0
9.0,141,4,3,4,8,7,32,0
9.0,141,4,3,4,8,7,32,0
9.0,141,4,3,4,8,7,32,0
9.0,141,4,3,4,8,7,32,0
9.0,141,4,3,4,8,7,32,0
9.0,141,4,3,4,8,7,32,0
9.0,141,4,3,4,8,7,32,0
9.0,141,4,3,4,8,7,32,0
9.0,141,4,3,4,8,7,32,0
9.0,141,4,3,4,8,7,32,0
9.0,141,4,3,4,8,7,32,0
9.4,192,0,10,5,16,7,32,0
9.4,192,0,10,5,16,7,32,0
9.4,192,0,10,5,16,7,32,0
9.4,192,0,10,5,16,7,32,0
9.4,192,0,10,5,16,7,32,0
9.4,192,0,10,5,16,7,32,0
9.4,192,0,10,5,16,7,32,0
9.4,192,0,10,5,16,7,32,0
9.4,192,0,3,4,8,7,32,0
9.4,192,0,3,4,8,7,32,0
9.4,192,0,3,4,8,7,32,0
9.4,192,0,3,4,8,7,32,0
9.4,192,0,3,4,8,7,32,0
9.4,192,0,3,4,8,7,32,0
9.4,192,0,3,4,8,7,32,0
9.4,192,0,3,4,8,7,32,0
10.0,192,5,10,5,16,47,32,1
10.0,192,5,10,5,16,47,32,1
10.0,192,5,10,5,16,47,32,1
10.0,192,5,10,5,16,47,32,1
10.0,192,5,10,5,16,47,32,1
10.0,192,5,10,5,16,47,32,1
10.0,192,5,10,5,16,47,32,1
10.0,192,5,10,5,16,47,32,1
10.0,192,5,10,5,16,47,32,1
10.0,192,5,10,5,16,47,32,1
10.0,192,5,10,5,16,47,32,1
10.0,192,5,10,5,16,47,32,1
10.0,192,5,3,4,8,47,32,1
10.0,192,5,3,4,8,47,32,1
10.0,192,5,3,4,8,47,32,1
10.0,192,5,3,4,8,47,32,1
10.0,192,5,3,4,8,47,32,1
10.0,192,5,3,4,8,47,32,1
10.0,192,5,3,4,8,47,32,1
10.0,192,5,3,4,8,47,32,1
10.0,192,5,3,4,8,47,32,1
10.0,192,5,3,4,8,47,32,1
10.0,192,5,3,4,8,47,32,1
10.0,192,5,3,4,8,47,32,1
9.0,80,4,10,5,16,47,32,1
9.0,80,4,10,5,16,47,32,1
9.0,80,4,10,5,16,47,32,1
9.0,80,4,10,5,16,47,32,1
9.0,80,4,3,4,8,47,32,1
9.0,80,4,3,4,8,47,32,1
9.0,80,4,3,4,8,47,32,1
9.0,80,4,3,4,8,47,32,1
9.0,80,4,3,4,8,47,32,1
9.0,80,4,3,4,8,47,32,1
9.0,80,4,3,4,8,47,32,1
9.0,80,4,3,4,8,47,32,1
9.0,141,4,10,5,16,47,32,1
9.0,141,4,10,5,16,47,32,1
9.0,141,4,10,5,16,47,32,1
9.0,141,4,10,5,16,47,32,1
9.0,141,4,10,5,16,47,32,1
9.0,141,4,10,5,16,47,32,1
9.0,141,4,10,5,16,47,32,1
9.0,141,4,10,5,16,47,32,1
9.0,141,4,10,5,16,47,32,1
9.0,141,4,10,5,16,47,32,1
9.0,141,4,10,5,16,47,32,1
9.0,141,4,10,5,16,47,32,1
9.0,141,4,3,4,8,47,32,1
9.0,141,4,3,4,8,47,32,1
9.0,141,4,3,4,8,47,32,1
9.0,141,4,3,4,8,47,32,1
9.0,141,4,3,4,8,47,32,1
9.0,141,4,3,4,8,47,32,1
9.0,141,4,3,4,8,47,32,1
9.0,141,4,3,4,8,47,32,1
9.0,141,4,3,4,8,47,32,1
9.0,141,4,3,4,8,47,32,1
9.0,141,4,3,4,8,47,32,1
9.0,141,4,3,4,8,47,32,1
9.4,192,0,10,5,16,47,32,1
9.4,192,0,10,5,16,47,32,1
9.4,192,0,10,5,16,47,32,1
9.4,192,0,10,5,16,47,32,1
9.4,192,0,10,5,16,47,32,1
9.4,192,0,10,5,16,47,32,1
9.4,192,0,10,5,16,47,32,1
9.4,192,0,10,5,16,47,32,1
9.4,192,0,3,4,8,47,32,1
9.4,192,0,3,4,8,47,32,1
9.4,192,0,3,4,8,47,32,1
9.4,192,0,3,4,8,47,32,1
9.4,192,0,3,4,8,47,32,1
9.4,192,0,3,4,8,47,32,1
9.4,192,0,3,4,8,47,32,1
9.4,192,0,3,4,8,47,32,1
10.0,192,5,10,5,16,7,28,0
10.0,192,5,10,5,16,7,28,0
10.0,192,5,10,5,16,7,28,0
10.0,192,5,10,5,16,7,28,0
10.0,192,5,10,5,16,7,28,0
10.0,192,5,10,5,16,7,28,0
10.0,192,5,10,5,16,7,28,0
10.0,192,5,10,5,16,7,28,0
10.0,192,5,10,5,16,7,28,0
10.0,192,5,10,5,16,7,28,0
10.0,192,5,10,5,16,7,28,0
10.0,192,5,10,5,16,7,28,0
10.0,192,5,2,2,4,7,28,0
10.0,192,5,2,2,4,7,28,0
10.0,192,5,2,2,4,7,28,0
10.0,192,5,2,2,4,7,28,0
10.0,192,5,3,4,8,7,28,0
10.0,192,5,3,4,8,7,28,0
10.0,192,5,3,4,8,7,28,0
10.0,192,5,3,4,8,7,28,0
10.0,192,5,3,4,8,7,28,0
10.0,192,5,3,4,8,7,28,0
10.0,192,5,3,4,8,7,28,0
10.0,192,5,3,4,8,7,28,0
10.0,192,5,3,4,8,7,28,0
10.0,192,5,3,4,8,7,28,0
10.0,192,5,3,4,8,7,28,0
10.0,192,5,3,4,8,7,28,0
9.0,80,4,10,5,16,7,28,0
9.0,80,4,10,5,16,7,28,0
9.0,80,4,10,5,16,7,28,0
9.0,80,4,10,5,16,7,28,0
9.0,80,4,10,5,16,7,28,0
9.0,80,4,10,5,16,7,28,0
9.0,80,4,10,5,16,7,28,0
9.0,80,4,10,5,16,7,28,0
9.0,80,4,3,4,8,7,28,0
9.0,80,4,3,4,8,7,28,0
9.0,80,4,3,4,8,7,28,0
9.0,80,4,3,4,8,7,28,0
9.0,80,4,3,4,8,7,28,0
9.0,80,4,3,4,8,7,28,0
9.0,80,4,3,4,8,7,28,0
9.0,80,4,3,4,8,7,28,0
9.0,80,4,3,4,8,7,28,0
9.0,80,4,3,4,8,7,28,0
9.0,80,4,3,4,8,7,28,0
9.0,80,4,3,4,8,7,28,0
9.0,141,4,10,5,16,7,28,0
9.0,141,4,10,5,16,7,28,0
9.0,141,4,10,5,16,7,28,0
9.0,141,4,10,5,16,7,28,0
9.0,141,4,10,5,16,7,28,0
9.0,141,4,10,5,16,7,28,0
9.0,141,4,10,5,16,7,28,0
9.0,141,4,10,5,16,7,28,0
9.0,141,4,10,5,16,7,28,0
9.0,141,4,10,5,16,7,28,0
9.0,141,4,10,5,16,7,28,0
9.0,141,4,10,5,16,7,28,0
9.0,141,4,3,4,8,7,28,0
9.0,141,4,3,4,8,7,28,0
9.0,141,4,3,4,8,7,28,0
9.0,141,4,3,4,8,7,28,0
9.0,141,4,3,4,8,7,28,0
9.0,141,4,3,4,8,7,28,0
9.0,141,4,3,4,8,7,28,0
9.0,141,4,3,4,8,7,28,0
9.0,141,4,3,4,8,7,28,0
9.0,141,4,3,4,8,7,28,0
9.0,141,4,3,4,8,7,28,0
9.0,141,4,3,4,8,7,28,0
9.4,192,0,10,5,16,7,28,0
9.4,192,0,10,5,16,7,28,0
9.4,192,0,10,5,16,7,28,0
9.4,192,0,10,5,16,7,28,0
9.4,192,0,10,5,16,7,28,0
9.4,192,0,10,5,16,7,28,0
9.4,192,0,10,5,16,7,28,0
9.4,192,0,10,5,16,7,28,0
9.4,192,0,3,4,8,7,28,0
9.4,192,0,3,4,8,7,28,0
9.4,192,0,3,4,8,7,28,0
9.4,192,0,3,4,8,7,28,0
9.4,192,0,3,4,8,7,28,0
9.4,192,0,3,4,8,7,28,0
9.4,192,0,3,4,8,7,28,0
9.4,192,0,3,4,8,7,28,0
